Shape,Part,X,Y,NAME
72,1,81°37′29″ W,32°59′47″ N,BURKE
72,1,81°46′04″ W,32°54′34″ N,BURKE
72,1,81°57′34″ W,32°47′08″ N,BURKE
72,1,81°58′21″ W,32°47′40″ N,BURKE
72,1,82°00′06″ W,32°47′22″ N,BURKE
72,1,82°00′17″ W,32°47′02″ N,BURKE
72,1,82°00′18″ W,32°47′02″ N,BURKE
72,1,82°00′40″ W,32°48′08″ N,BURKE
72,1,82°01′27″ W,32°48′22″ N,BURKE
72,1,82°02′26″ W,32°48′07″ N,BURKE
72,1,82°03′09″ W,32°48′43″ N,BURKE
72,1,82°03′50″ W,32°49′00″ N,BURKE
72,1,82°05′24″ W,32°48′50″ N,BURKE
72,1,82°06′10″ W,32°49′08″ N,BURKE
72,1,82°06′52″ W,32°48′31″ N,BURKE
72,1,82°06′53″ W,32°48′31″ N,BURKE
72,1,82°07′00″ W,32°48′36″ N,BURKE
72,1,82°07′31″ W,32°48′52″ N,BURKE
72,1,82°07′50″ W,32°48′38″ N,BURKE
72,1,82°08′42″ W,32°48′46″ N,BURKE
72,1,82°09′28″ W,32°48′57″ N,BURKE
72,1,82°11′16″ W,32°48′24″ N,BURKE
72,1,82°12′52″ W,32°48′14″ N,BURKE
72,1,82°13′23″ W,32°48′45″ N,BURKE
72,1,82°14′35″ W,32°48′48″ N,BURKE
72,1,82°15′12″ W,32°49′03″ N,BURKE
72,1,82°15′23″ W,32°49′26″ N,BURKE
72,1,82°15′57″ W,32°49′35″ N,BURKE
72,1,82°16′17″ W,32°49′16″ N,BURKE
72,1,82°16′44″ W,32°49′33″ N,BURKE
72,1,82°18′02″ W,32°49′33″ N,BURKE
72,1,82°18′46″ W,32°49′49″ N,BURKE
72,1,82°18′59″ W,32°50′07″ N,BURKE
72,1,82°18′59″ W,32°50′09″ N,BURKE
72,1,82°17′43″ W,32°52′46″ N,BURKE
72,1,82°16′20″ W,32°56′16″ N,BURKE
72,1,82°16′55″ W,33°00′30″ N,BURKE
72,1,82°17′28″ W,33°03′46″ N,BURKE
72,1,82°16′52″ W,33°06′37″ N,BURKE
72,1,82°16′01″ W,33°09′11″ N,BURKE
72,1,82°13′57″ W,33°13′53″ N,BURKE
72,1,82°14′28″ W,33°14′00″ N,BURKE
72,1,82°14′29″ W,33°14′02″ N,BURKE
72,1,82°14′27″ W,33°14′21″ N,BURKE
72,1,82°14′57″ W,33°15′11″ N,BURKE
72,1,82°15′46″ W,33°15′57″ N,BURKE
72,1,82°15′43″ W,33°16′10″ N,BURKE
72,1,82°15′43″ W,33°16′10″ N,BURKE
72,1,82°10′28″ W,33°17′48″ N,BURKE
72,1,82°10′22″ W,33°17′50″ N,BURKE
72,1,82°10′21″ W,33°17′50″ N,BURKE
72,1,82°10′15″ W,33°17′50″ N,BURKE
72,1,82°09′54″ W,33°17′45″ N,BURKE
106,1,83°16′27″ W,33°11′14″ N,BALDWIN
106,1,83°15′46″ W,33°11′21″ N,BALDWIN
106,1,83°15′28″ W,33°11′18″ N,BALDWIN
106,1,83°15′03″ W,33°11′11″ N,BALDWIN
106,1,83°06′27″ W,33°09′13″ N,BALDWIN
106,1,83°05′50″ W,33°09′05″ N,BALDWIN
106,1,83°05′41″ W,33°08′40″ N,BALDWIN
106,1,83°05′43″ W,33°08′28″ N,BALDWIN
106,1,83°05′53″ W,33°08′00″ N,BALDWIN
106,1,83°06′38″ W,33°07′38″ N,BALDWIN
