Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Charlton, Terry J.",Charlton, Terry J.,10-Nov-42,2nd Lt,SE-42-J,TAAF,Single engine,Beaumont,TX,,
"Chatman, Richard C., Jr.",Chatman," Richard C., Jr.",22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Chicago,IL,,
"Chavis, John H.",Chavis, John H.,15-Apr-44,2nd Lt,SE-44-D,TAAF,Single engine,Raleigh,NC,,https://cafriseabove.org/john-h-chavis/
"Cheatham, Eugene C., Jr.",Cheatham," Eugene C., Jr.",5-Dec-43,2nd Lt,TE-43-K,TAAF,Twin engine,Philadelphia,PA,,
"Cheek, Conrad H.",Cheek, Conrad H.,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Weldon,NC,,
"Cheek, Quentin V.",Cheek, Quentin V.,8-Sep-45,2nd Lt,TE-45-F,TAAF,Twin engine,Weldon,NC,,
"Chin, Jack",Chin, Jack,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Chicago,IL,,
"Chinchester, James R.",Chinchester, James R.,16-Oct-44,2nd Lt,TE-44-I-1,TAAF,Twin engine,Santa Monica,CA,,
"Chineworth, Joseph E.",Chineworth, Joseph E.,23-May-44,Flight Officer,SE-44-E,TAAF,Single engine,Memphis,TN,,
"Choisy, George B.",Choisy, George B.,4-Aug-45,2nd Lt,TE-45-E,TAAF,Twin engine,Jamaica,NY,,
"Cisco, Arnold W.",Cisco, Arnold W.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Alton,IL,,https://cafriseabove.org/arnold-w-cisco/
"Cisco, George E.",Cisco, George E.,23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Alton,IL,,https://cafriseabove.org/george-e-cisco/
"Clark, Herbert V.",Clark, Herbert V.,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Pine Bluff,AR,,https://cafriseabove.org/herbert-v-clark/
"Clayter, Ralph V.",Clayter, Ralph V.,23-May-45,2nd Lt,SE-45-C,TAAF,Single engine,Roanoke,VA,,
"Clayton, Melvin A.",Clayton, Melvin A.,11-Mar-45,2nd Lt,TE-45-A,TAAF,Twin engine,Salem,NJ,,
"Cleage, Scott K.",Cleage, Scott K.,7-Dec-43,1st Lt,CL-43-3,TAAF,Liaison pilot,Chicago,IL,,
"Cleaver, Lowell H.",Cleaver, Lowell H.,1-Feb-44,2nd Lt,SE-44-K,TAAF,Single engine,Prairie View,TX,,
"Cleveland, William J.",Cleveland, William J.,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Columbiana City,OH,,
"Clifton, Emile G.",Clifton, Emile G.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,San Francisco,CA,,
"Cobbs, Wilson N.",Cobbs, Wilson N.,27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Gordonsville,VA,,
"Coggs, Granville C.",Coggs, Granville C.,16-Oct-45,2nd Lt,TE-45-G,TAAF,Twin engine,Little Rock,AR,,
"Colbert, William A., Jr.",Colbert," William A., Jr.",1-Feb-44,Flight Officer,SE-44-K,TAAF,Single engine,Cumberland,MD,,
"Cole, Robert A.",Cole, Robert A.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Northfield,VT,,
"Coleman, James",Coleman, James,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Detroit,MI,,https://cafriseabove.org/james-coleman/
